room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
16241140,1438,106158968,Shared room,,New York,Manhattan,Inwood,5,5.0,2,1.0,,30.0,,HOMEY Hidden GEM Neighborhood 1 min 2 NYC subway,Apartment,2017-07-15 21:22:11.962489,40.865886,-73.92566,0101000020E6100000C8CD70033E7B52C03A083A5AD56E4440
18112463,1438,124028462,Shared room,,New York,Brooklyn,Bushwick,1,0.0,2,1.0,,40.0,,Beautiful twin room / Co-Living in Bushwick,Apartment,2017-07-15 21:22:11.958803,40.702728,-73.920362,0101000020E6100000CB9E0436E77A52C0E3FDB8FDF2594440
4121947,1438,21382866,Shared room,,New York,Queens,Maspeth,0,0.0,2,1.0,,39.0,,"New Apt, 15 mins to Manhattan",Apartment,2017-07-15 21:22:11.951976,40.740218,-73.904574,0101000020E6100000F6B3588AE47952C08CF4A276BF5E4440
16821696,1438,39528519,Shared room,,New York,Manhattan,Lower East Side,3,5.0,1,1.0,,28.0,,Nice private' room on Manhattan ∞ B,Apartment,2017-07-15 21:22:11.949505,40.716253,-73.986505,0101000020E6100000CA15DEE5227F52C0B954A52DAE5B4440
7791636,1438,310670,Shared room,,New York,Bronx,Eastchester,0,0.0,1,1.0,,30.0,,Dominiques' NYC Sleep Alcove,House,2017-07-15 21:22:11.943582,40.882106,-73.836249,0101000020E61000000394861A857552C07DCD72D9E8704440
13498381,1438,1125196,Shared room,,New York,Brooklyn,Bushwick,12,5.0,1,1.0,,25.0,,Lower bunk at the Invisible College: a hacker loft,Loft,2017-07-15 21:22:10.839740,40.699217,-73.926972,0101000020E6100000B2135E82537B52C053E751F17F594440
12933540,1438,69711528,Shared room,,New York,Bronx,Parkchester,9,4.5,3,1.0,,39.0,,Sofa bed 2 minutes to train for up to 3 guest,Apartment,2017-07-15 21:22:10.837144,40.830491,-73.873537,0101000020E610000024B6BB07E87752C0A94F72874D6A4440
10501572,1438,54144550,Shared room,,New York,Queens,Elmhurst,0,0.0,2,1.0,,28.0,,Elmhurst Private Living room,Apartment,2017-07-15 21:22:10.832539,40.746468,-73.876194,0101000020E6100000E4BCFF8F137852C059C16F438C5F4440
1016004,1438,5577926,Shared room,,New York,Queens,Astoria,76,5.0,2,1.0,,38.0,,Clean and Cute Shared Room in Very Safe Area,Apartment,2017-07-15 21:22:10.826578,40.767766,-73.91109,0101000020E61000009C6D6E4C4F7A52C0897D022846624440
14870294,1438,27069740,Shared room,,New York,Bronx,Bronxdale,11,5.0,2,1.0,,30.0,,Clean Space By Botanical Garden,Apartment,2017-07-15 21:22:10.818300,40.855205,-73.867092,0101000020E6100000E3A7716F7E7752C01630815B776D4440
